step,tag,value
61000,Self-play/ELO,1182.07763671875
62000,Self-play/ELO,1191.6741943359375
62000,Self-play/ELO,1190.393310546875
62000,Self-play/ELO,1192.0416259765625
62000,Self-play/ELO,1189.6778564453125
62000,Self-play/ELO,1185.6944580078125
62000,Self-play/ELO,1188.328857421875
63000,Self-play/ELO,1195.1746826171875
63000,Self-play/ELO,1191.6741943359375
63000,Self-play/ELO,1190.1453857421875
63000,Self-play/ELO,1191.1298828125
63000,Self-play/ELO,1193.281982421875
63000,Self-play/ELO,1188.4906005859375
63000,Self-play/ELO,1185.7384033203125
63000,Self-play/ELO,1188.328857421875
64000,Self-play/ELO,1192.1741943359375
64000,Self-play/ELO,1190.1453857421875
64000,Self-play/ELO,1191.11962890625
64000,Self-play/ELO,1186.97900390625
64000,Self-play/ELO,1187.3026123046875
64000,Self-play/ELO,1180.8863525390625
65000,Self-play/ELO,1191.6727294921875
65000,Self-play/ELO,1191.11962890625
65000,Self-play/ELO,1186.212158203125
65000,Self-play/ELO,1186.6419677734375
65000,Self-play/ELO,1184.76513671875
65000,Self-play/ELO,1187.6287841796875
66000,Self-play/ELO,1195.1915283203125
66000,Self-play/ELO,1190.1453857421875
66000,Self-play/ELO,1191.11962890625
66000,Self-play/ELO,1186.212158203125
66000,Self-play/ELO,1185.9649658203125
66000,Self-play/ELO,1184.7965087890625
66000,Self-play/ELO,1186.901611328125
66000,Self-play/ELO,1180.4014892578125
67000,Self-play/ELO,1191.6727294921875
67000,Self-play/ELO,1193.281982421875
67000,Self-play/ELO,1186.212158203125
67000,Self-play/ELO,1184.7965087890625
67000,Self-play/ELO,1185.91796875
68000,Self-play/ELO,1191.4227294921875
68000,Self-play/ELO,1190.170166015625
68000,Self-play/ELO,1190.6424560546875
68000,Self-play/ELO,1193.281982421875
68000,Self-play/ELO,1186.212158203125
68000,Self-play/ELO,1185.722900390625
68000,Self-play/ELO,1184.7965087890625
68000,Self-play/ELO,1184.9390869140625
68000,Self-play/ELO,1180.4014892578125
69000,Self-play/ELO,1189.6947021484375
69000,Self-play/ELO,1190.278076171875
69000,Self-play/ELO,1186.212158203125
69000,Self-play/ELO,1185.722900390625
69000,Self-play/ELO,1184.7965087890625
69000,Self-play/ELO,1184.9390869140625
69000,Self-play/ELO,1180.4014892578125
70000,Self-play/ELO,1195.1915283203125
70000,Self-play/ELO,1191.219970703125
70000,Self-play/ELO,1190.3687744140625
70000,Self-play/ELO,1186.212158203125
70000,Self-play/ELO,1184.07763671875
70000,Self-play/ELO,1184.9390869140625
71000,Self-play/ELO,1188.9556884765625
71000,Self-play/ELO,1190.3687744140625
71000,Self-play/ELO,1185.722900390625
71000,Self-play/ELO,1183.950439453125
71000,Self-play/ELO,1184.9390869140625
71000,Self-play/ELO,1179.6771240234375
72000,Self-play/ELO,1195.1915283203125
72000,Self-play/ELO,1189.1845703125
72000,Self-play/ELO,1192.805908203125
72000,Self-play/ELO,1185.8941650390625
72000,Self-play/ELO,1184.021240234375
73000,Self-play/ELO,1195.1915283203125
73000,Self-play/ELO,1188.7098388671875
73000,Self-play/ELO,1187.5391845703125
73000,Self-play/ELO,1191.8326416015625
73000,Self-play/ELO,1184.021240234375
73000,Self-play/ELO,1184.9390869140625
74000,Self-play/ELO,1195.1915283203125
74000,Self-play/ELO,1191.302734375
74000,Self-play/ELO,1186.5858154296875
74000,Self-play/ELO,1191.40380859375
74000,Self-play/ELO,1185.55078125
74000,Self-play/ELO,1185.722900390625
74000,Self-play/ELO,1184.021240234375
